2026-04-19 02:06:44 | INFO    | html_crawler | ============================================================
2026-04-19 02:06:44 | INFO    | html_crawler | >>> SITE: znews.vn
2026-04-19 02:08:28 | INFO    | html_crawler |   OK https://znews.vn/xuat-ban.html: {'added': 44, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 62, 'pages_visited': 2}
2026-04-19 02:11:59 | INFO    | html_crawler |   OK https://znews.vn/kinh-doanh-tai-chinh.html: {'added': 134, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 76, 'pages_visited': 4}
2026-04-19 02:14:42 | INFO    | html_crawler |   OK https://znews.vn/suc-khoe.html: {'added': 57, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 110, 'pages_visited': 3}
2026-04-19 02:19:19 | INFO    | html_crawler |   OK https://znews.vn/the-thao.html: {'added': 199, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 87, 'pages_visited': 6}
2026-04-19 02:21:27 | INFO    | html_crawler |   OK https://znews.vn/doi-song.html: {'added': 43, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 90, 'pages_visited': 3}
2026-04-19 02:23:06 | INFO    | html_crawler |   OK https://znews.vn/cong-nghe.html: {'added': 31, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 71, 'pages_visited': 2}
2026-04-19 02:25:48 | INFO    | html_crawler |   OK https://znews.vn/giai-tri.html: {'added': 76, 'dup': 0, 'invalid': 0, 'fetch_failed': 0, 'too_old': 92, 'pages_visited': 3}

2026-04-19 02:34:54 | INFO    | html_crawler | ============================================================
2026-04-19 02:34:54 | INFO    | html_crawler | HTML CRAWLER STARTED
2026-04-19 02:34:54 | INFO    | html_crawler | ============================================================
2026-04-19 02:34:54 | INFO    | html_crawler | >>> SITE: znews.vn
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/xuat-ban.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/kinh-doanh-tai-chinh.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/suc-khoe.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/the-thao.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/doi-song.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/cong-nghe.html
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/giai-tri.html
2026-04-19 02:34:54 | INFO    | html_crawler | >>> SITE: laodong.vn
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://laodong.vn/thoi-su/
2026-04-19 02:34:54 | INFO    | html_crawler |   SKIP (already done today): https://laodong.vn/the-gioi/
2026-04-19 02:37:29 | INFO    | html_crawler |   OK https://laodong.vn/xa-hoi/: {'added': 93, 'dup': 38, 'invalid': 44, 'fetch_failed': 0, 'too_old': 15, 'pages_visited': 14}
2026-04-19 02:38:31 | INFO    | html_crawler | ============================================================
2026-04-19 02:38:31 | INFO    | html_crawler | HTML CRAWLER STARTED
2026-04-19 02:38:31 | INFO    | html_crawler | ============================================================
2026-04-19 02:38:31 | INFO    | html_crawler | >>> SITE: znews.vn
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/xuat-ban.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/kinh-doanh-tai-chinh.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/suc-khoe.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/the-thao.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/doi-song.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/cong-nghe.html
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/giai-tri.html
2026-04-19 02:38:31 | INFO    | html_crawler | >>> SITE: laodong.vn
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://laodong.vn/thoi-su/
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://laodong.vn/the-gioi/
2026-04-19 02:38:31 | INFO    | html_crawler |   SKIP (already done today): https://laodong.vn/xa-hoi/
2026-04-19 02:40:15 | INFO    | html_crawler |   OK https://laodong.vn/phap-luat/: {'added': 60, 'dup': 18, 'invalid': 13, 'fetch_failed': 0, 'too_old': 28, 'pages_visited': 8}
2026-04-19 02:42:55 | INFO    | html_crawler | ============================================================
2026-04-19 02:42:55 | INFO    | html_crawler | HTML CRAWLER STARTED
2026-04-19 02:42:55 | INFO    | html_crawler | ============================================================
2026-04-19 02:42:55 | INFO    | html_crawler | >>> SITE: znews.vn
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/xuat-ban.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/kinh-doanh-tai-chinh.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/suc-khoe.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/the-thao.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/doi-song.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/cong-nghe.html
2026-04-19 02:42:55 | INFO    | html_crawler |   SKIP (already done today): https://znews.vn/giai-tri.html
2026-04-19 02:42:56 | INFO    | html_crawler | >>> SITE: laodong.vn
2026-04-19 02:44:28 | INFO    | html_crawler |   OK https://laodong.vn/thoi-su/: {'added': 73, 'dup': 0, 'invalid': 5, 'fetch_failed': 0, 'too_old': 15, 'pages_visited': 6}
2026-04-19 02:45:59 | INFO    | html_crawler |   OK https://laodong.vn/the-gioi/: {'added': 55, 'dup': 0, 'invalid': 12, 'fetch_failed': 0, 'too_old': 22, 'pages_visited': 5}
2026-04-19 02:47:45 | INFO    | html_crawler |   OK https://laodong.vn/xa-hoi/: {'added': 26, 'dup': 123, 'invalid': 56, 'fetch_failed': 0, 'too_old': 15, 'pages_visited': 14}
2026-04-19 02:48:58 | INFO    | html_crawler |   OK https://laodong.vn/phap-luat/: {'added': 24, 'dup': 71, 'invalid': 12, 'fetch_failed': 0, 'too_old': 28, 'pages_visited': 9}
2026-04-19 02:50:12 | INFO    | html_crawler |   OK https://laodong.vn/kinh-doanh/: {'added': 32, 'dup': 77, 'invalid': 19, 'fetch_failed': 0, 'too_old': 18, 'pages_visited': 9}
2026-04-19 02:51:30 | INFO    | html_crawler |   OK https://laodong.vn/bat-dong-san/: {'added': 50, 'dup': 0, 'invalid': 6, 'fetch_failed': 0, 'too_old': 20, 'pages_visited': 5}
2026-04-19 02:52:37 | INFO    | html_crawler |   OK https://laodong.vn/van-hoa/: {'added': 23, 'dup': 0, 'invalid': 14, 'fetch_failed': 0, 'too_old': 30, 'pages_visited': 3}
2026-04-19 02:54:06 | INFO    | html_crawler |   OK https://laodong.vn/giao-duc/: {'added': 50, 'dup': 0, 'invalid': 20, 'fetch_failed': 0, 'too_old': 17, 'pages_visited': 5}
2026-04-19 02:56:15 | INFO    | html_crawler |   OK https://laodong.vn/the-thao/: {'added': 94, 'dup': 0, 'invalid': 11, 'fetch_failed': 0, 'too_old': 21, 'pages_visited': 7}
2026-04-19 02:58:32 | INFO    | html_crawler |   OK https://laodong.vn/suc-khoe/: {'added': 54, 'dup': 0, 'invalid': 56, 'fetch_failed': 0, 'too_old': 24, 'pages_visited': 9}
2026-04-19 02:59:45 | INFO    | html_crawler |   OK https://laodong.vn/cong-nghe/: {'added': 35, 'dup': 1, 'invalid': 6, 'fetch_failed': 0, 'too_old': 32, 'pages_visited': 4}
2026-04-19 03:00:31 | INFO    | html_crawler |   OK https://laodong.vn/xe/: {'added': 15, 'dup': 0, 'invalid': 10, 'fetch_failed': 0, 'too_old': 21, 'pages_visited': 2}
