2026-04-18 22:52:12 | INFO    | rss_crawler | [42/109] OK https://thanhnien.vn/rss/gioi-tre.rss — added=49 dup=1 old=0 invalid=0
2026-04-18 23:08:16 | INFO    | rss_crawler | [43/109] OK https://vietnamnet.vn/rss/thoi-su.rss — added=1000 dup=0 old=0 invalid=0
2026-04-18 23:24:16 | INFO    | rss_crawler | [44/109] OK https://vietnamnet.vn/rss/the-gioi.rss — added=1000 dup=0 old=0 invalid=0
2026-04-18 23:40:03 | INFO    | rss_crawler | [45/109] OK https://vietnamnet.vn/rss/kinh-doanh.rss — added=1000 dup=0 old=0 invalid=0
2026-04-18 23:54:10 | INFO    | rss_crawler | [46/109] OK https://vietnamnet.vn/rss/giao-duc.rss — added=887 dup=0 old=113 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [47/109] OK https://vietnamnet.vn/rss/the-thao.rss — added=999 dup=0 old=0 invalid=1
2026-04-19 00:10:06 | INFO    | rss_crawler | [48/109] OK https://laodong.vn/rss/home.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [49/109] OK https://laodong.vn/rss/cong-doan.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [50/109] OK https://laodong.vn/rss/xa-hoi.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [51/109] OK https://laodong.vn/rss/kinh-doanh.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [52/109] OK https://laodong.vn/rss/van-hoa-giai-tri.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [53/109] OK https://laodong.vn/rss/xe.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [54/109] OK https://laodong.vn/rss/thoi-su.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [55/109] OK https://laodong.vn/rss/the-gioi.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [56/109] OK https://laodong.vn/rss/phap-luat.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [57/109] OK https://laodong.vn/rss/the-thao.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:10:06 | INFO    | rss_crawler | [58/109] OK https://laodong.vn/rss/suc-khoe.rss — added=0 dup=0 old=0 invalid=0
2026-04-19 00:11:03 | INFO    | rss_crawler | [59/109] OK https://nld.com.vn/rss/home.rss — added=60 dup=0 old=0 invalid=0
2026-04-19 00:11:33 | INFO    | rss_crawler | [60/109] OK https://nld.com.vn/rss/thoi-su.rss — added=31 dup=19 old=0 invalid=0
2026-04-19 00:12:13 | INFO    | rss_crawler | [61/109] OK https://nld.com.vn/rss/quoc-te.rss — added=43 dup=7 old=0 invalid=0
2026-04-19 00:13:00 | INFO    | rss_crawler | [62/109] OK https://nld.com.vn/rss/lao-dong.rss — added=48 dup=2 old=0 invalid=0
2026-04-19 00:13:43 | INFO    | rss_crawler | [63/109] OK https://nld.com.vn/rss/ban-doc.rss — added=45 dup=5 old=0 invalid=0
2026-04-19 00:14:23 | INFO    | rss_crawler | [64/109] OK https://nld.com.vn/rss/kinh-te.rss — added=42 dup=8 old=0 invalid=0
2026-04-19 00:15:05 | INFO    | rss_crawler | [65/109] OK https://nld.com.vn/rss/suc-khoe.rss — added=44 dup=6 old=0 invalid=0
2026-04-19 00:15:46 | INFO    | rss_crawler | [66/109] OK https://nld.com.vn/rss/giao-duc-khoa-hoc.rss — added=42 dup=8 old=0 invalid=0
2026-04-19 00:16:26 | INFO    | rss_crawler | [67/109] OK https://nld.com.vn/rss/phap-luat.rss — added=42 dup=8 old=0 invalid=0
2026-04-19 00:17:13 | INFO    | rss_crawler | [68/109] OK https://nld.com.vn/rss/van-hoa-van-nghe.rss — added=49 dup=1 old=0 invalid=0
2026-04-19 00:17:59 | INFO    | rss_crawler | [69/109] OK https://nld.com.vn/rss/giai-tri.rss — added=48 dup=2 old=0 invalid=0
